,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,2588.4021010398865,0.0,1238.7568681240082,0.0,0.001,poly,"{'C': 0.001, 'kernel': 'poly'}",0.60565,0.60565,0.0,18
1,4964.734811782837,0.0,13069.134876012802,0.0,0.001,rbf,"{'C': 0.001, 'kernel': 'rbf'}",0.6467333333333334,0.6467333333333334,0.0,16
2,55580.43490719795,0.0,1791.9227058887482,0.0,0.001,sigmoid,"{'C': 0.001, 'kernel': 'sigmoid'}",0.6399666666666667,0.6399666666666667,0.0,17
3,1430.9091157913208,0.0,1016.6380469799042,0.0,0.01,poly,"{'C': 0.01, 'kernel': 'poly'}",0.8878833333333334,0.8878833333333334,0.0,10
4,1536.4815881252289,0.0,1765.6388018131256,0.0,0.01,rbf,"{'C': 0.01, 'kernel': 'rbf'}",0.9193166666666667,0.9193166666666667,0.0,9
5,1591.3584477901459,0.0,1300.0142650604248,0.0,0.01,sigmoid,"{'C': 0.01, 'kernel': 'sigmoid'}",0.8674,0.8674,0.0,11
6,1447.0175199508667,0.0,5028.71474313736,0.0,0.1,poly,"{'C': 0.1, 'kernel': 'poly'}",0.9608833333333333,0.9608833333333333,0.0,8
7,4131.9596490859985,0.0,683.4211142063141,0.0,0.1,rbf,"{'C': 0.1, 'kernel': 'rbf'}",0.9622166666666667,0.9622166666666667,0.0,7
8,3358.076565027237,0.0,5290.541711091995,0.0,0.1,sigmoid,"{'C': 0.1, 'kernel': 'sigmoid'}",0.8357166666666667,0.8357166666666667,0.0,12
9,1421.527438879013,0.0,2987.7269728183746,0.0,1.0,poly,"{'C': 1.0, 'kernel': 'poly'}",0.9916166666666667,0.9916166666666667,0.0,5
10,1135.816780090332,0.0,2482.9292590618134,0.0,1.0,rbf,"{'C': 1.0, 'kernel': 'rbf'}",0.9899166666666667,0.9899166666666667,0.0,6
11,1799.9128651618958,0.0,1036.3821060657501,0.0,1.0,sigmoid,"{'C': 1.0, 'kernel': 'sigmoid'}",0.7699666666666667,0.7699666666666667,0.0,13
12,1532.3707158565521,0.0,229.321604013443,0.0,10,poly,"{'C': 10, 'kernel': 'poly'}",0.9997,0.9997,0.0,4
13,219.94232296943665,0.0,494.1894769668579,0.0,10,rbf,"{'C': 10, 'kernel': 'rbf'}",0.9999,0.9999,0.0,3
14,331.0807931423187,0.0,32603.453301906586,0.0,10,sigmoid,"{'C': 10, 'kernel': 'sigmoid'}",0.76145,0.76145,0.0,14
15,175.21324014663696,0.0,226.36418294906616,0.0,100,poly,"{'C': 100, 'kernel': 'poly'}",1.0,1.0,0.0,1
16,219.91253900527954,0.0,580.3860259056091,0.0,100,rbf,"{'C': 100, 'kernel': 'rbf'}",1.0,1.0,0.0,1
17,328.30184721946716,0.0,635.3001437187195,0.0,100,sigmoid,"{'C': 100, 'kernel': 'sigmoid'}",0.7585,0.7585,0.0,15
